vehicleId,vehicleType,arrDelay,depDelay,arrTime,depTime
veh_Bus_Line_1_dir_fwd_3, bus_type, 429.0, 32829.0, 429.0 ,32829.0
veh_Bus_Line_3_dir_fwd_3, bus_type, 428.0, 32828.0, 431.0 ,32831.0
veh_Bus_Line_1_dir_bwd_3, bus_type, 439.0, 32839.0, 443.0 ,32843.0
veh_Bus_Line_2_dir_bwd_3, bus_type, 442.0, 32842.0, 453.0 ,32853.0
veh_Bus_Line_2_dir_fwd_3, bus_type, 453.0, 32853.0, 472.0 ,32872.0
veh_Bus_Line_1_dir_fwd_3, bus_type, 565.0, 32965.0, 568.0 ,32968.0
veh_Bus_Line_3_dir_bwd_3, bus_type, 565.0, 32965.0, 570.0 ,32970.0
veh_Bus_Line_3_dir_fwd_3, bus_type, 567.0, 32967.0, 574.0 ,32974.0
veh_Bus_Line_1_dir_bwd_3, bus_type, 579.0, 32979.0, 586.0 ,32986.0
veh_Bus_Line_2_dir_bwd_3, bus_type, 589.0, 32989.0, 594.0 ,32994.0
veh_Bus_Line_2_dir_fwd_3, bus_type, 608.0, 33008.0, 616.0 ,33016.0
veh_Bus_Line_3_dir_fwd_4, bus_type, 0.0, 36000.0, 6.0 ,36006.0
veh_Bus_Line_3_dir_bwd_4, bus_type, 0.0, 36000.0, 6.0 ,36006.0
veh_Bus_Line_1_dir_fwd_4, bus_type, 0.0, 36000.0, 8.0 ,36008.0
veh_Bus_Line_1_dir_bwd_4, bus_type, 0.0, 36000.0, 8.0 ,36008.0
veh_Bus_Line_2_dir_bwd_4, bus_type, 0.0, 36000.0, 13.0 ,36013.0
veh_Bus_Line_2_dir_fwd_4, bus_type, 0.0, 36000.0, 14.0 ,36014.0
veh_Bus_Line_1_dir_fwd_4, bus_type, 144.0, 36144.0, 144.0 ,36144.0
veh_Bus_Line_3_dir_fwd_4, bus_type, 142.0, 36142.0, 146.0 ,36146.0
veh_Bus_Line_3_dir_bwd_4, bus_type, 142.0, 36142.0, 146.0 ,36146.0
veh_Bus_Line_1_dir_bwd_4, bus_type, 144.0, 36144.0, 149.0 ,36149.0
veh_Bus_Line_2_dir_bwd_4, bus_type, 149.0, 36149.0, 149.0 ,36149.0
veh_Bus_Line_2_dir_fwd_4, bus_type, 150.0, 36150.0, 154.0 ,36154.0
veh_Bus_Line_3_dir_bwd_4, bus_type, 282.0, 36282.0, 282.0 ,36282.0
veh_Bus_Line_3_dir_fwd_4, bus_type, 282.0, 36282.0, 285.0 ,36285.0
veh_Bus_Line_1_dir_fwd_4, bus_type, 280.0, 36280.0, 286.0 ,36286.0
veh_Bus_Line_1_dir_bwd_4, bus_type, 285.0, 36285.0, 289.0 ,36289.0
veh_Bus_Line_2_dir_bwd_4, bus_type, 285.0, 36285.0, 290.0 ,36290.0
veh_Bus_Line_2_dir_fwd_4, bus_type, 290.0, 36290.0, 295.0 ,36295.0
veh_Bus_Line_3_dir_bwd_4, bus_type, 418.0, 36418.0, 418.0 ,36418.0
veh_Bus_Line_3_dir_fwd_4, bus_type, 421.0, 36421.0, 424.0 ,36424.0
veh_Bus_Line_1_dir_fwd_4, bus_type, 422.0, 36422.0, 425.0 ,36425.0
veh_Bus_Line_1_dir_bwd_4, bus_type, 425.0, 36425.0, 428.0 ,36428.0
veh_Bus_Line_2_dir_bwd_4, bus_type, 426.0, 36426.0, 435.0 ,36435.0
veh_Bus_Line_2_dir_fwd_4, bus_type, 431.0, 36431.0, 439.0 ,36439.0
veh_Bus_Line_3_dir_bwd_4, bus_type, 554.0, 36554.0, 558.0 ,36558.0
veh_Bus_Line_3_dir_fwd_4, bus_type, 560.0, 36560.0, 560.0 ,36560.0
veh_Bus_Line_1_dir_fwd_4, bus_type, 561.0, 36561.0, 564.0 ,36564.0
veh_Bus_Line_1_dir_bwd_4, bus_type, 564.0, 36564.0, 564.0 ,36564.0
veh_Bus_Line_2_dir_bwd_4, bus_type, 571.0, 36571.0, 574.0 ,36574.0
veh_Bus_Line_2_dir_fwd_4, bus_type, 575.0, 36575.0, 578.0 ,36578.0
