vehIdList,vehicleTypeList,mainMode,travelTime,OZone,DZone,actstart,actend,startTime
p_98,undefined,car,959.0,zone_22_29,zone_11_7,home,work,25200.0
p_274,undefined,car,959.0,zone_0_27,zone_20_15,home,work,25200.0
p_225,undefined,car,959.0,zone_29_24,zone_15_11,home,work,25200.0
p_66,undefined,car,973.0,zone_28_10,zone_10_28,home,work,25200.0
p_194,undefined,car,973.0,zone_24_26,zone_3_11,home,work,25200.0
p_121,undefined,car,973.0,zone_26_1,zone_16_26,home,work,25200.0
p_106,undefined,car,980.0,zone_26_19,zone_3_4,home,work,25200.0
,,pt,1068.0,zone_17_6,zone_19_6,home,work,25200.0
p_37,undefined,car,1088.0,zone_26_28,zone_4_14,home,work,25200.0
,,pt,1099.0,zone_3_13,zone_2_14,home,work,25200.0
p_86,undefined,car,1102.0,zone_26_25,zone_7_2,home,work,25200.0
p_367,undefined,car,1238.0,zone_28_29,zone_8_4,home,work,25200.0
,,pt,1574.0,zone_6_11,zone_4_12,home,work,25200.0
,,pt,1795.0,zone_6_1,zone_4_0,home,work,25200.0
,,pt,1859.0,zone_0_21,zone_3_22,home,work,25200.0
,,pt,1997.0,zone_9_18,zone_9_16,home,work,25200.0
,,pt,2033.0,zone_17_28,zone_19_26,home,work,25200.0
,,pt,2097.0,zone_15_16,zone_12_15,home,work,25200.0
,,pt,2098.0,zone_5_14,zone_6_17,home,work,25200.0
,,pt,2100.0,zone_26_9,zone_24_7,home,work,25200.0
,,pt,2147.0,zone_6_20,zone_5_17,home,work,25200.0
,,pt,2241.0,zone_21_19,zone_24_18,home,work,25200.0
,,pt,2332.0,zone_19_25,zone_16_25,home,work,25200.0
,,pt,2477.0,zone_5_1,zone_4_4,home,work,25200.0
,,pt,2538.0,zone_0_3,zone_0_0,home,work,25200.0
,,pt,2577.0,zone_0_18,zone_2_15,home,work,25200.0
,,pt,2578.0,zone_23_28,zone_19_27,home,work,25200.0
,,pt,2773.0,zone_19_18,zone_20_14,home,work,25200.0
,,pt,2817.0,zone_17_12,zone_13_13,home,work,25200.0
,,pt,2819.0,zone_14_15,zone_19_16,home,work,25200.0
,,pt,2842.0,zone_28_12,zone_24_15,home,work,25200.0
,,pt,2890.0,zone_1_14,zone_3_11,home,work,25200.0
,,pt,3334.0,zone_26_12,zone_23_15,home,work,25200.0
,,pt,3593.0,zone_27_20,zone_27_25,home,work,25200.0
,,pt,3726.0,zone_24_4,zone_28_0,home,work,25200.0
,,pt,3731.0,zone_13_7,zone_18_11,home,work,25200.0
,,pt,3835.0,zone_10_6,zone_9_11,home,work,25200.0
,,pt,3859.0,zone_18_19,zone_24_18,home,work,25200.0
,,pt,3918.0,zone_11_14,zone_12_19,home,work,25200.0
,,pt,3964.0,zone_1_10,zone_7_9,home,work,25200.0
,,pt,4000.0,zone_4_8,zone_10_6,home,work,25200.0
,,pt,4094.0,zone_19_16,zone_23_12,home,work,25200.0
,,pt,4137.0,zone_28_22,zone_22_23,home,work,25200.0
,,pt,4172.0,zone_29_12,zone_25_7,home,work,25200.0
,,pt,4199.0,zone_6_1,zone_5_6,home,work,25200.0
,,pt,4204.0,zone_10_29,zone_17_28,home,work,25200.0
,,pt,4289.0,zone_20_12,zone_22_7,home,work,25200.0
,,pt,4352.0,zone_29_21,zone_23_24,home,work,25200.0
,,pt,4373.0,zone_20_10,zone_23_5,home,work,25200.0
,,pt,4389.0,zone_6_19,zone_9_24,home,work,25200.0
,,pt,4390.0,zone_7_9,zone_10_4,home,work,25200.0
,,pt,4509.0,zone_12_11,zone_9_17,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,4533.0,zone_19_27,zone_13_23,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,4559.0,zone_17_8,zone_14_12,home,work,25200.0
,,pt,4749.0,zone_27_4,zone_21_8,home,work,25200.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,4757.0,zone_28_13,zone_29_24,home,work,25200.0
,,pt,4844.0,zone_20_25,zone_23_19,home,work,25200.0
,,pt,4958.0,zone_20_20,zone_12_19,home,work,25200.0
veh_Bus_Line_3_dir_bwd_2,bus_type,pt,4964.0,zone_28_23,zone_28_11,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,5016.0,zone_14_16,zone_15_10,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5071.0,zone_9_10,zone_16_24,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5149.0,zone_18_3,zone_12_11,home,work,25200.0
,,pt,5185.0,zone_19_22,zone_11_20,home,work,25200.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,5247.0,zone_2_26,zone_23_22,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5308.0,zone_15_1,zone_16_19,home,work,25200.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,5321.0,zone_3_8,zone_2_18,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,5329.0,zone_19_3,zone_6_7,home,work,25200.0
,,pt,5401.0,zone_3_1,zone_11_0,home,work,25200.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,5429.0,zone_3_6,zone_1_13,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,5450.0,zone_14_21,zone_5_24,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,5464.0,zone_16_25,zone_8_25,home,work,25200.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,5536.0,zone_5_25,zone_15_21,home,work,25200.0
,,pt,5561.0,zone_9_10,zone_2_5,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,5577.0,zone_16_22,zone_9_25,home,work,25200.0
,,pt,5639.0,zone_27_1,zone_20_6,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,5641.0,zone_15_24,zone_4_24,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_2,tram_type;bus_type,pt,5665.0,zone_21_4,zone_13_1,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5726.0,zone_14_10,zone_14_28,home,work,25200.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,5814.0,zone_4_12,zone_2_19,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,5821.0,zone_12_11,zone_15_2,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,5825.0,zone_14_24,zone_13_14,home,work,25200.0
,,pt,5828.0,zone_5_19,zone_4_11,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5828.0,zone_9_9,zone_12_17,home,work,25200.0
,,pt,5866.0,zone_10_20,zone_6_27,home,work,25200.0
,,pt,5919.0,zone_3_2,zone_3_9,home,work,25200.0
,,pt,5941.0,zone_20_18,zone_27_24,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,5941.0,zone_14_6,zone_17_13,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,5982.0,zone_15_6,zone_4_4,home,work,25200.0
,,pt,6005.0,zone_24_5,zone_23_13,home,work,25200.0
,,pt,6039.0,zone_1_14,zone_8_19,home,work,25200.0
,,pt,6052.0,zone_14_2,zone_10_9,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,6067.0,zone_16_21,zone_17_4,home,work,25200.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,6121.0,zone_26_3,zone_29_21,home,work,25200.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,6178.0,zone_1_21,zone_2_14,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,6272.0,zone_19_3,zone_9_8,home,work,25200.0
,,pt,6279.0,zone_4_9,zone_9_16,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,6294.0,zone_25_9,zone_18_4,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,6339.0,zone_22_7,zone_17_3,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,6351.0,zone_19_19,zone_13_3,home,work,25200.0
,,pt,6375.0,zone_25_1,zone_24_9,home,work,25200.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,6384.0,zone_17_25,zone_26_23,home,work,25200.0
,,pt,6411.0,zone_5_25,zone_6_16,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2,tram_type,pt,6470.0,zone_8_7,zone_29_2,home,work,25200.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,6483.0,zone_3_24,zone_4_11,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,6506.0,zone_12_7,zone_12_27,home,work,25200.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,6612.0,zone_27_7,zone_26_15,home,work,25200.0
,,pt,6614.0,zone_25_0,zone_22_8,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,6616.0,zone_27_24,zone_6_27,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,6660.0,zone_11_24,zone_10_11,home,work,25200.0
,,pt,6694.0,zone_24_29,zone_22_21,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,6698.0,zone_27_4,zone_7_2,home,work,25200.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,6755.0,zone_26_6,zone_25_18,home,work,25200.0
veh_Bus_Line_3_dir_bwd_2,bus_type,pt,6775.0,zone_25_12,zone_27_2,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,6787.0,zone_15_22,zone_11_9,home,work,25200.0
,,pt,6788.0,zone_19_20,zone_9_18,home,work,25200.0
,,pt,7047.0,zone_15_1,zone_4_0,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,7090.0,zone_15_3,zone_11_21,home,work,25200.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,7097.0,zone_0_2,zone_3_21,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,7208.0,zone_17_14,zone_18_2,home,work,25200.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,7277.0,zone_18_25,zone_7_19,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,7343.0,zone_15_9,zone_9_18,home,work,25200.0
,,pt,7482.0,zone_22_10,zone_26_19,home,work,25200.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_2,train_type;bus_type,pt,7692.0,zone_23_19,zone_20_29,home,work,25200.0
veh_Bus_Line_2_dir_fwd_3,bus_type,pt,7715.0,zone_12_1,zone_15_24,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,7816.0,zone_15_11,zone_20_0,home,work,25200.0
veh_Train_Line_1_dir_bwd_3,train_type,pt,7872.0,zone_27_20,zone_14_23,home,work,25200.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,7915.0,zone_25_15,zone_23_24,home,work,25200.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,7945.0,zone_2_11,zone_4_2,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,7950.0,zone_18_17,zone_7_23,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,8034.0,zone_7_2,zone_15_23,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,8223.0,zone_20_5,zone_28_12,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,8326.0,zone_8_5,zone_14_24,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,8387.0,zone_12_5,zone_29_29,home,work,25200.0
