vehIdList,vehicleTypeList,mainMode,startTime,travelTime
veh_Train_Line_1_dir_bwd_3,train_type,pt,25200.0,8418.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,8427.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,8516.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,8518.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,8527.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,8529.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,8537.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,8562.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,8576.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,8663.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,8669.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,8695.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,8844.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,8892.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,8907.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,8947.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,8953.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,8958.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,8959.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,9048.0
veh_Tram_Line_1_dir_bwd_3,tram_type,pt,25200.0,9083.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9104.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,9110.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,9111.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9118.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9131.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9174.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9196.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,9212.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,9267.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,9279.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_fwd_3,train_type;bus_type,pt,25200.0,9279.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,9291.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,tram_type;bus_type,pt,25200.0,9293.0
veh_Bus_Line_2_dir_fwd_3,bus_type,pt,25200.0,9317.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,9341.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,9424.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,9467.0
veh_Bus_Line_2_dir_bwd_3,bus_type,pt,25200.0,9475.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9500.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,9511.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,9534.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9536.0
veh_Train_Line_1_dir_fwd_3,train_type,pt,25200.0,9575.0
veh_Train_Line_1_dir_bwd_3,train_type,pt,25200.0,9577.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9676.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,9683.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,9702.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_fwd_3,bus_type;train_type,pt,25200.0,9735.0
